,gpdep_mean,partial_value_mean,fd_hold_pct,fd_hold_weighted,qw_bin,heinrich_product_exact,hinrichs_exact,cordts_pipino
gpdep_mean,1.0,-0.07268352532935474,-0.042148637785336604,0.9383827812193513,0.15200126549159323,0.009335477265334659,0.016294176439717853,-0.032845566377367116
partial_value_mean,-0.07268352532935476,1.0,0.3783066479635734,0.06164093919148955,0.302341442397135,0.35671268124280314,0.36960617529167344,0.37694531997330616
fd_hold_pct,-0.042148637785336604,0.3783066479635734,1.0,0.30548475316758333,0.8461751269538929,0.796599924094498,0.8903316677788361,0.9995363181927155
fd_hold_weighted,0.9383827812193514,0.06164093919148955,0.3054847531675833,1.0,0.4313657400695664,0.2812731295153782,0.3203938568314416,0.3138589016696832
qw_bin,0.15200126549159326,0.302341442397135,0.8461751269538929,0.4313657400695664,1.0,0.8173376570229481,0.8897160539576963,0.8598024711254715
heinrich_product_exact,0.009335477265334673,0.3567126812428031,0.796599924094498,0.2812731295153782,0.8173376570229481,1.0,0.9787720433185232,0.803410927442085
hinrichs_exact,0.016294176439717853,0.3696061752916735,0.8903316677788361,0.32039385683144167,0.8897160539576963,0.978772043318523,1.0,0.896733628193406
cordts_pipino,-0.03284556637736712,0.3769453199733061,0.9995363181927155,0.3138589016696832,0.8598024711254715,0.803410927442085,0.896733628193406,1.0
