,gpdep_mean,partial_value_mean,fd_hold_pct,fd_hold_weighted,qw_bin,heinrich_product_exact,hinrichs_exact,cordts_pipino
gpdep_mean,0.0,0.0013691805196573027,0.06364684151544076,0.0,1.7610828308732237e-11,0.6813579467447501,0.47355085874894226,0.14844809829818395
partial_value_mean,0.0013691805196573027,0.0,6.046082845556997e-67,0.006653012160233928,3.1381840036972695e-42,3.300323908188598e-59,9.339108683304671e-64,1.935912417474539e-66
fd_hold_pct,0.06364684151544076,6.046082845556997e-67,0.0,4.052741923106248e-43,0.0,0.0,0.0,0.0
fd_hold_weighted,0.0,0.006653012160233928,4.052741923106248e-43,0.0,1.2953720647298856e-88,1.498861904127941e-36,1.7397476561536322e-47,1.5334577047504648e-45
qw_bin,1.7610828308732237e-11,3.1381840036972695e-42,0.0,1.2953720647298856e-88,0.0,0.0,0.0,0.0
heinrich_product_exact,0.6813579467447501,3.300323908189121e-59,0.0,1.498861904127941e-36,0.0,0.0,0.0,0.0
hinrichs_exact,0.47355085874894226,9.339108683304671e-64,0.0,1.7397476561533568e-47,0.0,0.0,0.0,0.0
cordts_pipino,0.14844809829818395,1.935912417474539e-66,0.0,1.5334577047504648e-45,0.0,0.0,0.0,0.0
